country,iso3,iso_num,year,ev_share_pct
Australia,AUS,36,2015,0.2
Australia,AUS,36,2016,0.1
Australia,AUS,36,2017,0.2
Australia,AUS,36,2018,0.4
Australia,AUS,36,2019,1.2
Australia,AUS,36,2020,1.1
Australia,AUS,36,2021,2.8
Australia,AUS,36,2022,5.0
Australia,AUS,36,2023,12.0
Australia,AUS,36,2024,13.0
Austria,AUT,40,2015,0.9
Austria,AUT,40,2016,1.5
Austria,AUT,40,2017,2.0
Austria,AUT,40,2018,2.6
Austria,AUT,40,2019,3.5
Austria,AUT,40,2020,9.5
Austria,AUT,40,2021,20.0
Austria,AUT,40,2022,22.0
Austria,AUT,40,2023,27.0
Austria,AUT,40,2024,24.0
Belgium,BEL,56,2015,0.8
Belgium,BEL,56,2016,1.7
Belgium,BEL,56,2017,2.6
Belgium,BEL,56,2018,2.4
Belgium,BEL,56,2019,3.2
Belgium,BEL,56,2020,11.0
Belgium,BEL,56,2021,18.0
Belgium,BEL,56,2022,26.0
Belgium,BEL,56,2023,41.0
Belgium,BEL,56,2024,43.0
Brazil,BRA,76,2015,0.0
Brazil,BRA,76,2016,0.0
Brazil,BRA,76,2017,0.0
Brazil,BRA,76,2018,0.0
Brazil,BRA,76,2019,0.1
Brazil,BRA,76,2020,0.2
Brazil,BRA,76,2021,0.9
Brazil,BRA,76,2022,1.2
Brazil,BRA,76,2023,3.0
Brazil,BRA,76,2024,6.4
Bulgaria,BGR,100,2015,0.1
Bulgaria,BGR,100,2016,0.1
Bulgaria,BGR,100,2017,0.3
Bulgaria,BGR,100,2018,0.6
Bulgaria,BGR,100,2019,0.7
Bulgaria,BGR,100,2021,2.2
Bulgaria,BGR,100,2022,4.0
Bulgaria,BGR,100,2023,5.8
Bulgaria,BGR,100,2024,5.0
Canada,CAN,124,2015,0.5
Canada,CAN,124,2016,0.8
Canada,CAN,124,2017,1.0
Canada,CAN,124,2018,2.8
Canada,CAN,124,2019,3.4
Canada,CAN,124,2020,4.2
Canada,CAN,124,2021,6.4
Canada,CAN,124,2022,9.5
Canada,CAN,124,2023,13.0
Canada,CAN,124,2024,17.0
Chile,CHL,152,2015,0.0
Chile,CHL,152,2016,0.0
Chile,CHL,152,2017,0.1
Chile,CHL,152,2018,0.1
Chile,CHL,152,2019,0.1
Chile,CHL,152,2020,0.2
Chile,CHL,152,2021,0.3
Chile,CHL,152,2022,0.6
Chile,CHL,152,2023,0.8
Chile,CHL,152,2024,2.1
China,CHN,156,2015,1.0
China,CHN,156,2016,1.5
China,CHN,156,2017,2.4
China,CHN,156,2018,4.7
China,CHN,156,2019,5.0
China,CHN,156,2020,5.7
China,CHN,156,2021,15.0
China,CHN,156,2022,29.0
China,CHN,156,2023,38.0
China,CHN,156,2024,48.0
Colombia,COL,170,2015,0.0
Colombia,COL,170,2016,0.0
Colombia,COL,170,2017,0.1
Colombia,COL,170,2018,0.4
Colombia,COL,170,2019,0.8
Colombia,COL,170,2020,0.9
Colombia,COL,170,2021,1.7
Colombia,COL,170,2022,2.9
Colombia,COL,170,2023,3.9
Colombia,COL,170,2024,7.4
Costa Rica,CRI,188,2015,0.0
Costa Rica,CRI,188,2016,0.2
Costa Rica,CRI,188,2017,0.1
Costa Rica,CRI,188,2018,0.8
Costa Rica,CRI,188,2019,1.2
Costa Rica,CRI,188,2020,2.5
Costa Rica,CRI,188,2021,3.6
Costa Rica,CRI,188,2022,7.6
Costa Rica,CRI,188,2023,13.0
Costa Rica,CRI,188,2024,15.0
Croatia,HRV,191,2019,0.4
Croatia,HRV,191,2020,1.9
Croatia,HRV,191,2021,3.8
Croatia,HRV,191,2022,5.0
Croatia,HRV,191,2023,4.6
Croatia,HRV,191,2024,4.9
Cyprus,CYP,196,2019,0.2
Cyprus,CYP,196,2020,1.4
Cyprus,CYP,196,2021,1.7
Cyprus,CYP,196,2022,5.4
Cyprus,CYP,196,2023,8.8
Cyprus,CYP,196,2024,12.0
Czech Republic,CZE,203,2015,0.1
Czech Republic,CZE,203,2016,0.1
Czech Republic,CZE,203,2017,0.1
Czech Republic,CZE,203,2018,0.4
Czech Republic,CZE,203,2019,0.5
Czech Republic,CZE,203,2020,2.5
Czech Republic,CZE,203,2021,3.1
Czech Republic,CZE,203,2022,3.9
Czech Republic,CZE,203,2023,5.4
Czech Republic,CZE,203,2024,6.8
Denmark,DNK,208,2015,2.3
Denmark,DNK,208,2016,0.8
Denmark,DNK,208,2017,0.6
Denmark,DNK,208,2018,2.1
Denmark,DNK,208,2019,4.2
Denmark,DNK,208,2020,16.0
Denmark,DNK,208,2021,35.0
Denmark,DNK,208,2022,38.0
Denmark,DNK,208,2023,46.0
Denmark,DNK,208,2024,56.0
Estonia,EST,233,2015,0.2
Estonia,EST,233,2016,0.1
Estonia,EST,233,2017,0.2
Estonia,EST,233,2018,0.5
Estonia,EST,233,2019,0.4
Estonia,EST,233,2020,1.8
Estonia,EST,233,2021,3.2
Estonia,EST,233,2022,5.4
Estonia,EST,233,2023,8.8
Estonia,EST,233,2024,10.0
Finland,FIN,246,2015,0.6
Finland,FIN,246,2016,1.2
Finland,FIN,246,2017,2.5
Finland,FIN,246,2018,4.6
Finland,FIN,246,2019,6.7
Finland,FIN,246,2020,18.0
Finland,FIN,246,2021,30.0
Finland,FIN,246,2022,37.0
Finland,FIN,246,2023,54.0
Finland,FIN,246,2024,50.0
France,FRA,250,2015,1.2
France,FRA,250,2016,1.4
France,FRA,250,2017,1.7
France,FRA,250,2018,2.0
France,FRA,250,2019,2.7
France,FRA,250,2020,11.0
France,FRA,250,2021,17.0
France,FRA,250,2022,20.0
France,FRA,250,2023,25.0
France,FRA,250,2024,24.0
Germany,DEU,276,2015,0.7
Germany,DEU,276,2016,0.7
Germany,DEU,276,2017,1.6
Germany,DEU,276,2018,2.0
Germany,DEU,276,2019,3.0
Germany,DEU,276,2020,14.0
Germany,DEU,276,2021,26.0
Germany,DEU,276,2022,31.0
Germany,DEU,276,2023,24.0
Germany,DEU,276,2024,19.0
Greece,GRC,300,2015,0.1
Greece,GRC,300,2016,0.1
Greece,GRC,300,2017,0.2
Greece,GRC,300,2018,0.3
Greece,GRC,300,2019,0.4
Greece,GRC,300,2020,2.7
Greece,GRC,300,2021,6.9
Greece,GRC,300,2022,7.9
Greece,GRC,300,2023,13.0
Greece,GRC,300,2024,12.0
Hungary,HUN,348,2015,0.2
Hungary,HUN,348,2016,0.4
Hungary,HUN,348,2017,1.0
Hungary,HUN,348,2018,1.5
Hungary,HUN,348,2019,1.9
Hungary,HUN,348,2020,4.7
Hungary,HUN,348,2021,7.0
Hungary,HUN,348,2022,8.6
Hungary,HUN,348,2023,11.0
Hungary,HUN,348,2024,12.0
Iceland,ISL,352,2015,3.9
Iceland,ISL,352,2016,6.3
Iceland,ISL,352,2017,14.0
Iceland,ISL,352,2018,20.0
Iceland,ISL,352,2019,26.0
Iceland,ISL,352,2020,52.0
Iceland,ISL,352,2021,70.0
Iceland,ISL,352,2022,69.0
Iceland,ISL,352,2023,71.0
Iceland,ISL,352,2024,42.0
India,IND,356,2015,0.0
India,IND,356,2016,0.0
India,IND,356,2017,0.0
India,IND,356,2018,0.0
India,IND,356,2019,0.0
India,IND,356,2020,0.1
India,IND,356,2021,0.4
India,IND,356,2022,1.4
India,IND,356,2023,2.1
India,IND,356,2024,2.1
Indonesia,IDN,360,2017,0.0
Indonesia,IDN,360,2018,0.0
Indonesia,IDN,360,2019,0.0
Indonesia,IDN,360,2020,0.1
Indonesia,IDN,360,2021,0.1
Indonesia,IDN,360,2022,1.4
Indonesia,IDN,360,2023,2.2
Indonesia,IDN,360,2024,7.3
Ireland,IRL,372,2015,0.5
Ireland,IRL,372,2016,0.5
Ireland,IRL,372,2017,0.7
Ireland,IRL,372,2018,1.6
Ireland,IRL,372,2019,4.1
Ireland,IRL,372,2020,7.4
Ireland,IRL,372,2021,16.0
Ireland,IRL,372,2022,22.0
Ireland,IRL,372,2023,27.0
Ireland,IRL,372,2024,25.0
Israel,ISR,376,2015,0.0
Israel,ISR,376,2016,0.0
Israel,ISR,376,2017,0.5
Israel,ISR,376,2018,1.2
Israel,ISR,376,2019,1.6
Israel,ISR,376,2020,2.6
Israel,ISR,376,2021,6.9
Israel,ISR,376,2022,12.0
Israel,ISR,376,2023,17.0
Israel,ISR,376,2024,21.0
Italy,ITA,380,2015,0.1
Italy,ITA,380,2016,0.1
Italy,ITA,380,2017,0.2
Italy,ITA,380,2018,0.5
Italy,ITA,380,2019,0.9
Italy,ITA,380,2020,4.2
Italy,ITA,380,2021,9.1
Italy,ITA,380,2022,8.5
Italy,ITA,380,2023,9.2
Italy,ITA,380,2024,7.9
Japan,JPN,392,2015,0.6
Japan,JPN,392,2016,0.6
Japan,JPN,392,2017,1.2
Japan,JPN,392,2018,1.1
Japan,JPN,392,2019,0.9
Japan,JPN,392,2020,0.8
Japan,JPN,392,2021,1.2
Japan,JPN,392,2022,2.8
Japan,JPN,392,2023,3.5
Japan,JPN,392,2024,2.8
Korea,KOR,410,2015,0.2
Korea,KOR,410,2016,0.3
Korea,KOR,410,2017,1.0
Korea,KOR,410,2018,3.9
Korea,KOR,410,2019,2.4
Korea,KOR,410,2020,2.5
Korea,KOR,410,2021,6.3
Korea,KOR,410,2022,9.6
Korea,KOR,410,2023,8.7
Korea,KOR,410,2024,9.2
Latvia,LVA,428,2015,0.2
Latvia,LVA,428,2016,0.2
Latvia,LVA,428,2017,0.2
Latvia,LVA,428,2018,0.5
Latvia,LVA,428,2019,0.5
Latvia,LVA,428,2020,2.6
Latvia,LVA,428,2021,3.9
Latvia,LVA,428,2022,8.1
Latvia,LVA,428,2023,11.0
Latvia,LVA,428,2024,12.0
Lithuania,LTU,440,2015,0.2
Lithuania,LTU,440,2016,0.3
Lithuania,LTU,440,2017,0.2
Lithuania,LTU,440,2019,0.3
Lithuania,LTU,440,2020,1.1
Lithuania,LTU,440,2021,5.0
Lithuania,LTU,440,2022,7.9
Lithuania,LTU,440,2023,11.0
Lithuania,LTU,440,2024,12.0
Luxembourg,LUX,442,2019,3.5
Luxembourg,LUX,442,2020,11.0
Luxembourg,LUX,442,2021,20.0
Luxembourg,LUX,442,2022,24.0
Luxembourg,LUX,442,2023,32.0
Luxembourg,LUX,442,2024,36.0
Mexico,MEX,484,2015,0.0
Mexico,MEX,484,2016,0.1
Mexico,MEX,484,2017,0.1
Mexico,MEX,484,2018,0.1
Mexico,MEX,484,2019,0.1
Mexico,MEX,484,2020,0.5
Mexico,MEX,484,2021,0.8
Mexico,MEX,484,2022,1.0
Mexico,MEX,484,2023,1.5
Mexico,MEX,484,2024,2.2
Netherlands,NLD,528,2015,3.5
Netherlands,NLD,528,2016,11.0
Netherlands,NLD,528,2017,6.4
Netherlands,NLD,528,2018,6.2
Netherlands,NLD,528,2019,15.0
Netherlands,NLD,528,2020,25.0
Netherlands,NLD,528,2021,29.0
Netherlands,NLD,528,2022,35.0
Netherlands,NLD,528,2023,44.0
Netherlands,NLD,528,2024,48.0
New Zealand,NZL,554,2015,0.6
New Zealand,NZL,554,2016,1.7
New Zealand,NZL,554,2017,3.4
New Zealand,NZL,554,2018,4.9
New Zealand,NZL,554,2019,5.9
New Zealand,NZL,554,2020,5.4
New Zealand,NZL,554,2021,7.6
New Zealand,NZL,554,2022,18.0
New Zealand,NZL,554,2023,27.0
New Zealand,NZL,554,2024,11.0
Norway,NOR,578,2015,22.0
Norway,NOR,578,2016,29.0
Norway,NOR,578,2017,39.0
Norway,NOR,578,2018,49.0
Norway,NOR,578,2019,56.0
Norway,NOR,578,2020,75.0
Norway,NOR,578,2021,86.0
Norway,NOR,578,2022,89.0
Norway,NOR,578,2023,90.0
Norway,NOR,578,2024,92.0
Poland,POL,616,2015,0.1
Poland,POL,616,2016,0.1
Poland,POL,616,2017,0.2
Poland,POL,616,2018,0.3
Poland,POL,616,2019,0.5
Poland,POL,616,2020,1.9
Poland,POL,616,2021,3.6
Poland,POL,616,2022,5.9
Poland,POL,616,2023,6.4
Poland,POL,616,2024,5.7
Portugal,PRT,620,2015,0.6
Portugal,PRT,620,2016,0.9
Portugal,PRT,620,2017,1.9
Portugal,PRT,620,2018,3.6
Portugal,PRT,620,2019,5.6
Portugal,PRT,620,2020,13.0
Portugal,PRT,620,2021,20.0
Portugal,PRT,620,2022,22.0
Portugal,PRT,620,2023,32.0
Portugal,PRT,620,2024,33.0
Romania,ROU,642,2015,0.0
Romania,ROU,642,2016,0.1
Romania,ROU,642,2017,0.2
Romania,ROU,642,2018,0.5
Romania,ROU,642,2019,0.9
Romania,ROU,642,2020,3.1
Romania,ROU,642,2021,5.2
Romania,ROU,642,2022,9.0
Romania,ROU,642,2023,11.0
Romania,ROU,642,2024,6.5
Slovakia,SVK,703,2015,0.1
Slovakia,SVK,703,2016,0.1
Slovakia,SVK,703,2017,0.2
Slovakia,SVK,703,2018,0.3
Slovakia,SVK,703,2019,0.4
Slovakia,SVK,703,2020,2.3
Slovakia,SVK,703,2021,3.0
Slovakia,SVK,703,2022,3.7
Slovakia,SVK,703,2023,6.1
Slovakia,SVK,703,2024,4.8
Slovenia,SVN,705,2016,0.3
Slovenia,SVN,705,2017,0.6
Slovenia,SVN,705,2018,0.9
Slovenia,SVN,705,2019,0.3
Slovenia,SVN,705,2020,3.1
Slovenia,SVN,705,2021,3.8
Slovenia,SVN,705,2022,6.2
Slovenia,SVN,705,2023,11.0
Slovenia,SVN,705,2024,8.1
South Africa,ZAF,710,2015,0.1
South Africa,ZAF,710,2016,0.1
South Africa,ZAF,710,2017,0.1
South Africa,ZAF,710,2018,0.0
South Africa,ZAF,710,2019,0.1
South Africa,ZAF,710,2020,0.1
South Africa,ZAF,710,2021,0.1
South Africa,ZAF,710,2022,0.2
South Africa,ZAF,710,2023,0.3
South Africa,ZAF,710,2024,0.6
Spain,ESP,724,2015,0.2
Spain,ESP,724,2016,0.3
Spain,ESP,724,2017,0.6
Spain,ESP,724,2018,0.8
Spain,ESP,724,2019,1.3
Spain,ESP,724,2020,4.5
Spain,ESP,724,2021,7.3
Spain,ESP,724,2022,8.9
Spain,ESP,724,2023,12.0
Spain,ESP,724,2024,11.0
Sweden,SWE,752,2015,2.4
Sweden,SWE,752,2016,3.4
Sweden,SWE,752,2017,5.1
Sweden,SWE,752,2018,7.6
Sweden,SWE,752,2019,11.0
Sweden,SWE,752,2020,32.0
Sweden,SWE,752,2021,43.0
Sweden,SWE,752,2022,54.0
Sweden,SWE,752,2023,60.0
Sweden,SWE,752,2024,58.0
Switzerland,CHE,756,2015,1.7
Switzerland,CHE,756,2016,1.9
Switzerland,CHE,756,2017,2.6
Switzerland,CHE,756,2018,3.1
Switzerland,CHE,756,2019,5.5
Switzerland,CHE,756,2020,14.0
Switzerland,CHE,756,2021,21.0
Switzerland,CHE,756,2022,25.0
Switzerland,CHE,756,2023,30.0
Switzerland,CHE,756,2024,28.0
Thailand,THA,764,2015,0.0
Thailand,THA,764,2016,0.0
Thailand,THA,764,2017,0.0
Thailand,THA,764,2018,0.9
Thailand,THA,764,2019,1.0
Thailand,THA,764,2020,1.1
Thailand,THA,764,2021,1.2
Thailand,THA,764,2022,2.3
Thailand,THA,764,2023,11.0
Thailand,THA,764,2024,13.0
United Kingdom,GBR,826,2015,1.1
United Kingdom,GBR,826,2016,1.4
United Kingdom,GBR,826,2017,1.9
United Kingdom,GBR,826,2018,2.6
United Kingdom,GBR,826,2019,3.3
United Kingdom,GBR,826,2020,11.0
United Kingdom,GBR,826,2021,19.0
United Kingdom,GBR,826,2022,23.0
United Kingdom,GBR,826,2023,24.0
United Kingdom,GBR,826,2024,28.0
